NAICS_SUPER,RACE_HISP,RACEHISP_TOTAL,RACEHISP_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACEHISP_SHARE
53,Non-Hispanic AIAN,41,26.343879744638983,98619,1780.3382262929704,4.157413885762378e-4
53,Non-Hispanic Asian,3296,340.8689630928577,98619,1780.3382262929704,0.03342155162798244
53,Non-Hispanic Black,14110,641.6963845932124,98619,1780.3382262929704,0.1430758778734321
53,Non-Hispanic Other,1078,204.421745418632,98619,1780.3382262929704,0.010930956509394742
53,Non-Hispanic White,67062,1235.0657472377736,98619,1780.3382262929704,0.6800109512365772
54,Hispanic AIAN,123,58.73372114892773,433533,3563.1479551093585,2.837154265073247e-4
54,Hispanic Asian,192,79.31298758715371,433533,3563.1479551093585,4.4287286088948245e-4
54,Hispanic Black,441,91.21266359448123,433533,3563.1479551093585,0.00101722360235553
54,Hispanic Other,10755,772.1536116602707,433533,3563.1479551093585,0.024807800098262417
54,Hispanic White,25428,1100.7395014262004,433533,3563.1479551093585,0.05865297451405083
54,Non-Hispanic AIAN,437,129.6869307216421,433533,3563.1479551093585,0.0010079970844203325
54,Non-Hispanic Asian,43964,1419.990492925921,433533,3563.1479551093585,0.10140865862575629
54,Non-Hispanic Black,31388,1182.7803473172862,433533,3563.1479551093585,0.07240048623749519
54,Non-Hispanic Other,6822,419.57144802762735,433533,3563.1479551093585,0.015735826338479423
54,Non-Hispanic White,313983,2954.5099085973634,433533,3563.1479551093585,0.7242424452117832
55,Hispanic AIAN,0,0,6885,448.39697813433133,0
55,Hispanic Asian,0,0,6885,448.39697813433133,0
55,Hispanic Black,0,0,6885,448.39697813433133,0
55,Hispanic Other,67,41.33098111586513,6885,448.39697813433133,0.009731299927378359
55,Hispanic White,396,134.16612836330935,6885,448.39697813433133,0.05751633986928104
55,Non-Hispanic AIAN,0,0,6885,448.39697813433133,0
55,Non-Hispanic Asian,481,105.44050455114487,6885,448.39697813433133,0.06986201888162673
55,Non-Hispanic Black,364,104.4373017652218,6885,448.39697813433133,0.052868554829339144
55,Non-Hispanic Other,38,30.558141304732526,6885,448.39697813433133,0.00551924473493101
55,Non-Hispanic White,5539,399.96949883709885,6885,448.39697813433133,0.8045025417574437
56,Hispanic AIAN,481,130.79889143261116,281476,3405.4995154896146,0.0017088490670607796
56,Hispanic Asian,207,97.89943820063526,281476,3405.4995154896146,7.354090579658656e-4
56,Hispanic Black,860,186.96176079615853,281476,3405.4995154896146,0.0030553226562833064
56,Hispanic Other,40236,1452.336582889793,281476,3405.4995154896146,0.14294646790490131
56,Hispanic White,53105,1609.4088666339578,281476,3405.4995154896146,0.18866617402549418
56,Non-Hispanic AIAN,228,86.66746794501383,281476,3405.4995154896146,8.100157739913882e-4
56,Non-Hispanic Asian,7863,451.4767435870867,281476,3405.4995154896146,0.027934886100413534
56,Non-Hispanic Black,52832,1311.040560013305,281476,3405.4995154896146,0.18769628671716238
56,Non-Hispanic Other,3014,337.9166317303722,281476,3405.4995154896146,0.010707840100044053
56,Non-Hispanic White,122650,2231.765007790919,281476,3405.4995154896146,0.4357387485966832
61,Hispanic AIAN,328,76.52613932506983,519178,4138.171619205757,6.317679100424132e-4
61,Hispanic Asian,270,105.07045255446462,519178,4138.171619205757,5.200528527788158e-4
61,Hispanic Black,1079,254.43201449503167,519178,4138.171619205757,0.0020782852894383045
61,Hispanic Other,17744,811.3686585024097,519178,4138.171619205757,0.034177103035952984
61,Hispanic White,37176,1173.2606274822317,519178,4138.171619205757,0.07160549946261205
61,Non-Hispanic AIAN,414,114.88820653139295,519178,4138.171619205757,7.974143742608508e-4
61,Non-Hispanic Asian,29527,1074.7095421554607,519178,4138.171619205757,0.0568725947555559
61,Non-Hispanic Black,73448,1478.065746169635,519178,4138.171619205757,0.14146978492925355
61,Non-Hispanic Other,7529,566.3979166628352,519178,4138.171619205757,0.014501770105821125
61,Non-Hispanic White,351663,3269.49893714618,519178,4138.171619205757,0.677345727284284
62,Hispanic AIAN,697,123.84688126876672,694751,4686.125323761626,0.001003237131000891
62,Hispanic Asian,479,144.43025998730323,694751,4686.125323761626,6.89455646699321e-4
62,Hispanic Black,1330,223.9793517268947,694751,4686.125323761626,0.001914354927160954
62,Hispanic Other,35340,1269.1324792944195,694751,4686.125323761626,0.05086714520741964
62,Hispanic White,56576,1574.1816604191524,694751,4686.125323761626,0.08143349199929183
62,Non-Hispanic AIAN,1047,187.48039897546624,694751,4686.125323761626,0.0015070147434116683
62,Non-Hispanic Asian,71864,1417.4407218645865,694751,4686.125323761626,0.1034384981093946
62,Non-Hispanic Black,155721,2348.6496439443667,694751,4686.125323761626,0.22413929594919618
62,Non-Hispanic Other,9554,608.3034604537443,694751,4686.125323761626,0.013751689454207334
62,Non-Hispanic White,362143,3285.7965320451603,694751,4686.125323761626,0.5212558168322176
71,Hispanic AIAN,244,87.47999771376311,146474,2421.270152213503,0.0016658246514739817
71,Hispanic Asian,93,52.88241673751305,146474,2421.270152213503,6.349249696191815e-4
71,Hispanic Black,317,120.3947673281526,146474,2421.270152213503,0.0021642066168739843
71,Hispanic Other,8049,581.7374407754756,146474,2421.270152213503,0.05495173204800852
71,Hispanic White,12420,817.0058139328019,146474,2421.270152213503,0.08479320562011006
71,Non-Hispanic AIAN,151,100.69831180312806,146474,2421.270152213503,0.0010308996818548
71,Non-Hispanic Asian,4504,401.3236225292501,146474,2421.270152213503,0.03074948455015907
71,Non-Hispanic Black,16975,777.3140935297649,146474,2421.270152213503,0.11589087483102803
71,Non-Hispanic Other,2614,338.4398026237458,146474,2421.270152213503,0.017846170651446672
71,Non-Hispanic White,101107,1749.3350450957073,146474,2421.270152213503,0.6902726763794257
72,Hispanic AIAN,1052,201.6937034217975,417236,4171.491987287043,0.002521354820772896
72,Hispanic Asian,158,95.13621812958512,417236,4171.491987287043,3.78682568138895e-4
72,Hispanic Black,1854,362.34120659952544,417236,4171.491987287043,0.004443528362845009
72,Hispanic Other,61104,1957.668306940683,417236,4171.491987287043,0.14644949141493063
72,Hispanic White,82453,2198.940187908712,417236,4171.491987287043,0.19761717589086272
72,Non-Hispanic AIAN,346,124.47188437554884,417236,4171.491987287043,8.29266889721884e-4
72,Non-Hispanic Asian,27273,1090.4824391066552,417236,4171.491987287043,0.06536588405602585
72,Non-Hispanic Black,54458,1368.4488298800215,417236,4171.491987287043,0.130520856301949
72,Non-Hispanic Other,6080,476.8362402334789,417236,4171.491987287043,0.014572088698003048
72,Non-Hispanic White,182458,2488.8267617493993,417236,4171.491987287043,0.43730167099675005
81,Hispanic AIAN,375,149.4255667548228,269679,2822.7430453372835,0.0013905420889279477
81,Hispanic Asian,61,36.40879014743555,269679,2822.7430453372835,2.261948464656128e-4
81,Hispanic Black,328,84.303024856763,269679,2822.7430453372835,0.0012162608137823115
81,Hispanic Other,20640,1006.1805503983866,269679,2822.7430453372835,0.07653543657459425
81,Hispanic White,32450,1018.0366398121436,269679,2822.7430453372835,0.12032824209523174
81,Non-Hispanic AIAN,281,85.63936010970657,269679,2822.7430453372835,0.0010419795386366754
81,Non-Hispanic Asian,18049,891.9327328896502,269679,2822.7430453372835,0.06692771776816141
81,Non-Hispanic Black,35909,1131.635674587895,269679,2822.7430453372835,0.13315460232350312
81,Non-Hispanic Other,3305,407.58900868399286,269679,2822.7430453372835,0.012255310943751645
81,Non-Hispanic White,158281,2165.318844881742,269679,2822.7430453372835,0.5869237130069453
92,Hispanic AIAN,243,79.91870869827665,198887,2713.4550945243227,0.0012217993131778346
92,Hispanic Asian,41,29.357281890529308,198887,2713.4550945243227,2.0614720921930543e-4
92,Hispanic Black,453,111.13482802434167,198887,2713.4550945243227,0.0022776752628376916
92,Hispanic Other,7497,547.392911901497,198887,2713.4550945243227,0.037694771402856896
92,Hispanic White,16176,771.834988841527,198887,2713.4550945243227,0.08133261600808499
92,Non-Hispanic AIAN,649,160.07342065439846,198887,2713.4550945243227,0.003263159482520225
92,Non-Hispanic Asian,6218,484.43332874607216,198887,2713.4550945243227,0.0312639840713571
92,Non-Hispanic Black,49042,1495.3599733843353,198887,2713.4550945243227,0.2465822301105653
92,Non-Hispanic Other,2665,317.37572370929695,198887,2713.4550945243227,0.013399568599254853
92,Non-Hispanic White,115903,1805.214931801751,198887,2713.4550945243227,0.5827580485401258
99,Hispanic AIAN,148,63.83024361538972,106489,2090.1260009865437,0.0013898149104602353
99,Hispanic Asian,45,34.08738769691805,106489,2090.1260009865437,4.225788579102067e-4
99,Hispanic Black,411,130.97480673778452,106489,2090.1260009865437,0.003859553568913221
99,Hispanic Other,11105,691.1018738217978,106489,2090.1260009865437,0.10428307149095212
99,Hispanic White,12110,774.7223373570689,106489,2090.1260009865437,0.11372066598428007
99,Non-Hispanic AIAN,88,52.92069538469804,106489,2090.1260009865437,8.263764332466264e-4
99,Non-Hispanic Asian,5473,539.4273815816175,106489,2090.1260009865437,0.05139497976316803
99,Non-Hispanic Black,44973,1385.8741104443795,106489,2090.1260009865437,0.4223253105954606
99,Non-Hispanic Other,1706,300.23315939449463,106489,2090.1260009865437,0.01602043403544028
99,Non-Hispanic White,30430,1207.3764740129734,106489,2090.1260009865437,0.28575721436016865
