INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
62132,2995,338.7868061185382,29571.897058823528,3077.2818224707535,24855.0625,2565.16111612016,4e4,36e3,0,0,0
6213ZM,10155,575.1929676204326,49569.171875,2998.25,28985.214285714286,1737.8274706316752,4e4,36e3,0,1,0
6214,35164,960.2059154160632,40701,1135.2061363611956,37163,1240,4e4,36e3,0,1,1
6216,32453,935.3387888888176,23400.958333333332,1023.4496224403083,2e4,686.3664803308948,4e4,36e3,0,0,0
621M,40604,1413.2915304352462,40701,953.3561373678021,38993,1142.4208782058886,4e4,36e3,0,1,1
622,208885,2810.0605064660085,50058,207.23987967675384,49551,500,4e4,36e3,0,1,1
6231,52805,1402.0715744925435,27473,774.25,25811.2,711,4e4,36e3,0,0,0
623M,21629,959.8666313608365,26011.8125,976.900034075461,25e3,903.5,4e4,36e3,0,0,0
6241,45051,1254.805821631379,30035,619.5,27060.75,890.5,4e4,36e3,0,0,0
6242,2982,328.340752877251,32037,3139.8183315370143,30969,3173.9396137523254,4e4,36e3,0,0,0
6243,6031,535.4897758127601,25e3,1709.5040345462257,21093.6935483871,1878.258926502307,4e4,36e3,0,0,0
6244,46486,1234.664347100053,18996.81818181818,564.6738206297478,13420,712.5585654603415,4e4,36e3,0,0,0
711,25270,1028.9652083525468,30516,1497.76504262636,15151.14736842105,1947.5,4e4,36e3,0,0,0
712,21485,921.2454613185348,23004.397058823528,1499,20351,1464.736294131414,4e4,36e3,0,0,0
71395,1558,235.94628626024186,18241.317073170732,2751.462702530753,10323,3246.802052887424,4e4,36e3,0,0,0
713Z,57356,1591.1891150960028,20993.6511627907,590.75,17085.210526315786,1008.3747070622239,4e4,36e3,0,0,0
7211,38397,1420.9109578013677,29e3,827.4010509012578,27788.56578947368,865.7283719853904,4e4,36e3,0,0,0
721M,1485,215.8769325333302,10012,1888.3544333138134,9617.574999999997,1472.9117350857196,4e4,36e3,0,0,0
7224,8833,676.2166442790358,18582,1728.6429123573862,15808,1904.1067998891358,4e4,36e3,0,0,0
